VILLE,QUARTIER,NOUVEAU CODE POSTAL
RABAT,QUARTIER MANSOUR,10000
RABAT,QUARTIER MINARET,10000
RABAT,QUARTIER MOULAY ISMAIL,10000
RABAT,QUARTIER ROYAL,10000
RABAT,QUARTIER SAHAT AL ALAOUIYINE,10000
RABAT,CITE ADMINISTRATIVE,10010
RABAT,CITE FOCH,10020
RABAT,CITE OLM,10020
RABAT,QUARTIER HASSAN,10020
RABAT,IMMEUBLE KARRAKCHOU,10030
RABAT,QUARTIER ANCIENNE MEDINA,10030
RABAT,QUARTIER HAZZAN KOUTIL,10030
RABAT,QUARTIER KASBAT OUDAYA,10030
RABAT,QUARTIER LAALOU,10030
RABAT,QUARTIER LAGZA,10030
RABAT,QUARTIER LOUZ,10030
RABAT,QUARTIER MELLAH,10030
RABAT,QUARTIER MOULAY ABDELLAH,10030
RABAT,QUARTIER SIDI FATEH,10030
RABAT,QUARTIER SOUIKA,10030
RABAT,QUARTIER TELAGRAPHE,10030
RABAT,QUARTIER MARASSA,10040
RABAT,SANIAT GHARBIA,10040
RABAT,QUARTIER OCEAN,10040
RABAT,QUARTIER TOKYO,10040
RABAT,SANIAT GHARBIA,10040
RABAT,JNANE AL FATH ALA,10050
RABAT,QUARTIER AKKARI,10050
RABAT,QUARTIER KATYOUNE,10050
RABAT,QUARTIER KEBIBAT,10050
RABAT,QUARTIER KSAR LABHAR,10050
RABAT,QUARTIER LA COGOGNE,10050
RABAT,QUARTIER DIOUR JAMAA,10060
RABAT,QUARTIER LES ORANGERS,10060
RABAT,BLOC K,10070
RABAT,BLOC M,10070
RABAT,BLOC R,10070
RABAT,HAY EL KHEIR,10070
RABAT,HAY GUICH,10070
RABAT,QUARTIER A,10070
RABAT,QUARTIER B,10070
RABAT,QUARTIER C,10070
RABAT,QUARTIER D,10070
RABAT,QUARTIER DISPENSAIRE LALLA AMINA,10070
RABAT,QUARTIER F,10070
RABAT,QUARTIER H,10070
RABAT,QUARTIER I,10070
RABAT,QUARTIER J,10070
RABAT,QUARTIER JDID,10070
RABAT,QUARTIER L,10070
RABAT,QUARTIER LAHBAS,10070
RABAT,QUARTIER LHAMMAM,10070
RABAT,QUARTIER LKHAMSSINE,10070
RABAT,QUARTIER LMALAAB,10070
RABAT,QUARTIER LMOUSSIKA,10070
RABAT,QUARTIER MAISON DES JEUNES,10070
RABAT,QUARTIER MECHOUAR,10070
RABAT,QUARTIER N,10070
RABAT,QUARTIER O,10070
RABAT,QUARTIER Q,10070
RABAT,QUARTIER S,10070
RABAT,QUARTIER U,10070
RABAT,QUARTIER W,10070
RABAT,QUARTIER X,10070
RABAT,QUARTIER AGDAL HAUT,10080
RABAT,QUARTIER ADMINISTRATIFE AGDAL,10090
RABAT,QUARTIER AGDAL BAS,10090
RABAT,QUARTIER OUM KALTHOUM,10090
RABAT,QUARTIER RYAD BAS,10100
RABAT,SECTEUR 1,10100
RABAT,SECTEUR 10,10100
RABAT,SECTEUR 11,10100
RABAT,SECTEUR 12,10100
RABAT,SECTEUR 13,10100
RABAT,SECTEUR 14,10100
RABAT,SECTEUR 15,10100
RABAT,SECTEUR 16,10100
RABAT,SECTEUR 17,10100
RABAT,SECTEUR 18,10100
RABAT,SECTEUR 19,10100
RABAT,SECTEUR 2,10100
RABAT,SECTEUR 20,10100
RABAT,SECTEUR 21,10100
RABAT,SECTEUR 22,10100
RABAT,SECTEUR 3,10100
RABAT,SECTEUR 4,10100
RABAT,SECTEUR 5,10100
RABAT,SECTEUR 6,10100
RABAT,SECTEUR 7,10100
RABAT,SECTEUR 8,10100
RABAT,SECTEUR 9,10100
RABAT,QUARTIER 25,10110
RABAT,QUARTIER CHAUMIERES I,10110
RABAT,QUARTIER CHAUMIERES II,10110
RABAT,QUARTIER RYAD HAUT,10110
RABAT,SECTEUR 23,10110
RABAT,SECTEUR 24,10110
RABAT,SECTEUR 25,10110
RABAT,CITE OLM HASSAN,10120
RABAT,CITE YAACOUB AL MANSOUR,10120
RABAT,DOUAR RJA FELLAH,10120
RABAT,QUARTIER B OUEST,10120
RABAT,QUARTIER BATIMAT JAMAA,10120
RABAT,QUARTIER BOUHLAL,10120
RABAT,QUARTIER CYM,10120
RABAT,QUARTIER ECHABAB,10120
RABAT,QUARTIER ESSABAH,10120
RABAT,QUARTIER HAJ KACEM,10120
RABAT,QUARTIER JADID,10120
RABAT,QUARTIER KAMRA NORD,10120
RABAT,QUARTIER KAMRA SUD,10120
RABAT,QUARTIER BOUITATE,10130
RABAT,QUARTIER CHBANAT,10130
RABAT,QUARTIER D COMPLEMENT,10130
RABAT,QUARTIER DA,10130
RABAT,QUARTIER DB,10130
RABAT,QUARTIER DC,10130
RABAT,QUARTIER DE,10130
RABAT,QUARTIER DF,10130
RABAT,QUARTIER DG,10130
RABAT,QUARTIER DH,10130
RABAT,QUARTIER DI,10130
RABAT,QUARTIER DJ,10130
RABAT,QUARTIER DK,10130
RABAT,QUARTIER DL,10130
RABAT,QUARTIER DM,10130
RABAT,QUARTIER DN,10130
RABAT,QUARTIER DO,10130
RABAT,QUARTIER DP,10130
RABAT,QUARTIER DQ,10130
RABAT,QUARTIER DR,10130
RABAT,QUARTIER DS,10130
RABAT,QUARTIER DT,10130
RABAT,QUARTIER DU,10130
RABAT,QUARTIER DV,10130
RABAT,QUARTIER DW,10130
RABAT,QUARTIER DX,10130
RABAT,QUARTIER DY,10130
RABAT,QUARTIER E,10130
RABAT,QUARTIER HADJ SLIMANE,10130
RABAT,QUARTIER HAJ SLIMANE,10130
RABAT,QUARTIER KORRA,10130
RABAT,QUARTIER KOUASS,10130
RABAT,HAY SOPHAL,10140
RABAT,QUARTIER AMAL,10140
RABAT,QUARTIER AMAL 1,10140
RABAT,QUARTIER AMAL 2,10140
RABAT,QUARTIER AMAL 3,10140
RABAT,QUARTIER AMAL 4,10140
RABAT,QUARTIER AMAL 6,10140
RABAT,QUARTIER J5,10140
RABAT,QUARTIER LA GARDE ROYAL,10140
RABAT,QUARTIER MILITAIRE,10140
RABAT,DOUAR GARAA,10150
RABAT,HAY JDID,10150
RABAT,QUARTIER AL BOUSTANE,10150
RABAT,QUARTIER AMAL 5,10150
RABAT,QUARTIER EL MENZEH,10150
RABAT,QUARTIER ELMASSIRA I,10150
RABAT,QUARTIER LA CORNICHE,10150
RABAT,QUARTIER MASSIRA,10150
RABAT,QUARTIER MIMOSA,10150
RABAT,QUARTIER MOUNTALAK,10150
RABAT,QUARTIER MOUNTAZAH,10150
RABAT,HAY EL FATH,10160
RABAT,QUARTIER ENNAJAH,10160
RABAT,QUARTIER GUICH LOUDAYA,10160
RABAT,QUARTIER BEN ABDELLAH,10170
RABAT,QUARTIER BEN MBAREK,10170
RABAT,QUARTIER BIR KACEM,10170
RABAT,QUARTIER BOUSTANE LALLA FATIMA ZOHRA,10170
RABAT,QUARTIER HAKAM 2,10170
RABAT,QUARTIER LAILA,10170
RABAT,QUARTIER MOULINE DEUS,10170
RABAT,QUARTIER NAPABYA,10170
RABAT,QUARTIER RACHIDA,10170
RABAT,QUARTIER SAIDI,10170
RABAT,QUARTIER SIDI MASSOUD,10170
RABAT,QUARTIER SOUSSI,10170
RABAT,QUARTIER T,10170
RABAT,QUARTIER WILAYA,10170
RABAT,QUARTIER AVIATION,10180
RABAT,QUARTIER CIL,10180
RABAT,QUARTIER EL OUFIR,10180
RABAT,QUARTIER MABILLE,10180
RABAT,QUARTIER OLM AVIATION,10180
RABAT,QUARTIER POLICE,10180
RABAT,QUARTIER RAOUD AL ANDALOUS,10180
RABAT,QUARTIER RHAMNA,10180
RABAT,QUARTIER WAFA,10180
RABAT,LOT TAZI,10190
RABAT,QUARTIER 11,10190
RABAT,QUARTIER 18,10190
RABAT,QUARTIER 21,10190
RABAT,QUARTIER 22,10190
RABAT,QUARTIER 26,10190
RABAT,QUARTIER 29,10190
RABAT,QUARTIER 32,10190
RABAT,QUARTIER 37,10190
RABAT,QUARTIER 38,10190
RABAT,QUARTIER 39,10190
RABAT,QUARTIER 4,10190
RABAT,QUARTIER 40,10190
RABAT,QUARTIER 41,10190
RABAT,QUARTIER 42,10190
RABAT,QUARTIER 43,10190
RABAT,QUARTIER 44,10190
RABAT,QUARTIER 45,10190
RABAT,QUARTIER 46,10190
RABAT,QUARTIER 47,10190
RABAT,QUARTIER 48,10190
RABAT,QUARTIER 19,10190
RABAT,QUARTIER 5,10190
RABAT,QUARTIER 50,10190
RABAT,QUARTIER 51,10190
RABAT,QUARTIER 52,10190
RABAT,QUARTIER 53,10190
RABAT,QUARTIER 54,10190
RABAT,QUARTIER 55,10190
RABAT,QUARTIER 56,10190
RABAT,QUARTIER 57,10190
RABAT,QUARTIER 59,10190
RABAT,QUARTIER 6,10190
RABAT,QUARTIER 60,10190
RABAT,QUARTIER 7,10190
RABAT,QUARTIER 8,10190
RABAT,QUARTIER ABI REKRAK,10190
